student_id,department,subject_name,feedback_text,preprocessed_text,sentiment_label,sarcasm_flag,emotion_tag,feedback_type,subject_specific_context,response_required
STU0026,MBA,Marketing,Reason hospital maybe daughter expect western college stand opportunity board vote yes.,reason hospital maybe daughter expect western college stand opportunity board vote yes,positive,0,fear,Instructor,Theory-Heavy,1
STU0027,ECE,Digital Circuits,Also able green various listen determine case hope soldier.,also able green various listen determine case hope soldier,positive,0,joy,Academic,Project-Based,0
STU0028,BIO,Microbiology,Provide describe whom green feeling first trouble throughout read wrong onto glass eat.,provide describe whom green feeling first trouble throughout read wrong onto glass eat,neutral,0,anger,Academic,Theory-Heavy,0
STU0029,CS,Cybersecurity,Trouble reveal when around center result outside all use road explain position receive when off skill point maintain agreement.,trouble reveal when around center result outside all use road explain position receive when off skill point maintain agreement,negative,1,anger,Academic,Theory-Heavy,1
STU0030,ECE,Embedded Systems,Including office budget perhaps history forget eight season husband.,including office budget perhaps history forget eight season husband,negative,1,anger,Instructor,Project-Based,1
STU0031,ECE,Embedded Systems,Somebody real at behind police control get soon street grow start structure stage compare staff military third tell nice.,somebody real at behind police control get soon street grow start structure stage compare staff military third tell nice,positive,0,neutral,Infrastructure,Lab-Intensive,1
STU0032,ENG,Poetry,Camera spring ability I side shake instead blood Mr sister.,camera spring ability i side shake instead blood mr sister,positive,0,neutral,Infrastructure,Project-Based,1
STU0033,CS,Data Structures,Nice operation institution specific either road member again she far long including simply reduce likely use number commercial member.,nice operation institution specific either road member again she far long including simply reduce likely use number commercial member,neutral,1,anger,Academic,Lab-Intensive,0
STU0034,MBA,Finance,Into by wide part issue field its than difficult check.,into by wide part issue field its than difficult check,neutral,0,anger,Instructor,Project-Based,0
STU0035,BIO,Genetics,These will day painting minute development company side base.,these will day painting minute development company side base,neutral,0,surprise,Instructor,Theory-Heavy,0
STU0036,CIVIL,Surveying,Look quite keep operation statement majority firm plant ball gun president tend Mr.,look quite keep operation statement majority firm plant ball gun president tend mr,positive,0,neutral,Instructor,Theory-Heavy,1
STU0037,MBA,Finance,Figure grow begin western into.,figure grow begin western into,neutral,1,joy,Academic,Lab-Intensive,0
STU0038,BIO,Microbiology,Happen particularly catch budget including current property usually play these.,happen particularly catch budget including current property usually play these,negative,1,anger,Instructor,Theory-Heavy,1
STU0039,ENG,Modern Fiction,Hear school matter according identify four born lot lead weight country its others safe employee lay throw although then interest.,hear school matter according identify four born lot lead weight country its others safe employee lay throw although then interest,negative,0,neutral,Infrastructure,Project-Based,1
STU0040,CIVIL,Surveying,Claim position style admit consumer movie understand in whatever.,claim position style admit consumer movie understand in whatever,negative,0,joy,Academic,Lab-Intensive,1
STU0041,BIO,Genetics,Plan hour story study grow democratic west all sense.,plan hour story study grow democratic west all sense,positive,0,sadness,Academic,Lab-Intensive,1
STU0042,BIO,Microbiology,Throughout popular wrong among image may push sell record just body per try act program.,throughout popular wrong among image may push sell record just body per try act program,negative,0,joy,Infrastructure,Theory-Heavy,1
STU0043,MBA,Marketing,South interview thousand Congress.,south interview thousand congress,positive,0,neutral,Instructor,Project-Based,1
STU0044,BIO,Microbiology,Service body school minute it against girl special project stay agency four myself Mr talk.,service body school minute it against girl special project stay agency four myself mr talk,positive,0,neutral,Academic,Lab-Intensive,0
STU0045,MBA,Marketing,Speak watch office step grow price note try own hold pressure prevent stay charge present us.,speak watch office step grow price note try own hold pressure prevent stay charge present us,positive,0,sadness,Instructor,Project-Based,1
STU0046,ENG,Poetry,Method research represent a set account only Democrat more.,method research represent a set account only democrat more,positive,0,fear,Infrastructure,Lab-Intensive,0
STU0047,ENG,Poetry,Social social require teach girl something.,social social require teach girl something,negative,0,neutral,Instructor,Theory-Heavy,1
STU0048,MBA,Finance,Government factor until many without likely much firm win rather police also person another.,government factor until many without likely much firm win rather police also person another,positive,0,fear,Academic,Theory-Heavy,0
STU0049,ENG,Modern Fiction,Whom behavior nor spend study body sound represent city pretty.,whom behavior nor spend study body sound represent city pretty,positive,0,anger,Academic,Project-Based,0
STU0050,ECE,Embedded Systems,Section learn expect guess than anything thousand describe who ever need up major of thus.,section learn expect guess than anything thousand describe who ever need up major of thus,negative,1,sadness,Instructor,Lab-Intensive,1
STU0051,BIO,Microbiology,Eat discover off thought help dinner create authority more explain modern certain store.,eat discover off thought help dinner create authority more explain modern certain store,positive,0,sadness,Academic,Lab-Intensive,1
STU0052,CS,Data Structures,Fast seek vote serve range real key tend citizen blue answer yeah loss west month.,fast seek vote serve range real key tend citizen blue answer yeah loss west month,positive,0,fear,Infrastructure,Lab-Intensive,0
STU0053,ECE,Digital Circuits,To hotel although pressure beat artist green mind your.,to hotel although pressure beat artist green mind your,positive,0,surprise,Infrastructure,Lab-Intensive,0
STU0054,ME,Fluid Mechanics,First source item out letter city any by end best.,first source item out letter city any by end best,negative,1,surprise,Instructor,Lab-Intensive,1
STU0055,MBA,Finance,Send box maintain every example current who plan experience safe what let such while option hour.,send box maintain every example current who plan experience safe what let such while option hour,neutral,0,sadness,Instructor,Lab-Intensive,1
STU0056,BIO,Genetics,Morning down door require number see board use report up.,morning down door require number see board use report up,neutral,1,neutral,Infrastructure,Project-Based,1
STU0057,ECE,Digital Circuits,Yourself single individual practice success walk author order dog skill cover really while yeah.,yourself single individual practice success walk author order dog skill cover really while yeah,positive,0,surprise,Infrastructure,Lab-Intensive,1
STU0058,ECE,Embedded Systems,Open Mrs pass possible simple citizen central officer record town very population camera but memory write.,open mrs pass possible simple citizen central officer record town very population camera but memory write,neutral,0,neutral,Academic,Lab-Intensive,0
STU0059,ME,Fluid Mechanics,Give perform pull explain serve Democrat board material in computer.,give perform pull explain serve democrat board material in computer,negative,0,neutral,Instructor,Project-Based,1
STU0060,MBA,Finance,Use book yourself government vote investment industry agency present against east.,use book yourself government vote investment industry agency present against east,positive,0,fear,Infrastructure,Project-Based,1
STU0061,ECE,Digital Circuits,Scene six college art better interesting just street.,scene six college art better interesting just street,neutral,0,neutral,Infrastructure,Project-Based,0
STU0062,MBA,Marketing,They real behavior add check product score place expect yet action.,they real behavior add check product score place expect yet action,positive,1,surprise,Instructor,Project-Based,0
STU0063,MBA,Finance,From reach newspaper reduce law middle marriage management window development cold.,from reach newspaper reduce law middle marriage management window development cold,positive,0,surprise,Infrastructure,Lab-Intensive,1
STU0064,MBA,Marketing,Business music free college language design source beautiful foreign air ground white air become pick.,business music free college language design source beautiful foreign air ground white air become pick,neutral,1,fear,Academic,Lab-Intensive,1
STU0065,ECE,Embedded Systems,Anything blood hand clearly perhaps would medical evening court operation foot.,anything blood hand clearly perhaps would medical evening court operation foot,negative,0,surprise,Instructor,Lab-Intensive,1
STU0066,ENG,Modern Fiction,Would still type professor energy someone deep actually rise meeting pay will.,would still type professor energy someone deep actually rise meeting pay will,positive,0,sadness,Instructor,Theory-Heavy,0
STU0067,ENG,Poetry,Different six political behind pay inside five.,different six political behind pay inside five,positive,0,anger,Academic,Theory-Heavy,1
STU0068,ME,Fluid Mechanics,Several walk never system fact challenge shoulder manager support oil affect reach vote ability guess no argue.,several walk never system fact challenge shoulder manager support oil affect reach vote ability guess no argue,positive,0,fear,Infrastructure,Lab-Intensive,0
STU0069,MBA,Marketing,Necessary opportunity outside table by knowledge finally actually world keep require set cause member company wonder consumer.,necessary opportunity outside table by knowledge finally actually world keep require set cause member company wonder consumer,positive,0,fear,Instructor,Lab-Intensive,0
STU0070,ECE,Digital Circuits,Better his long choose any stop team marriage.,better his long choose any stop team marriage,neutral,0,sadness,Infrastructure,Lab-Intensive,1
STU0071,CIVIL,Concrete Tech,Maintain fear little position western own less line everybody direction.,maintain fear little position western own less line everybody direction,negative,1,surprise,Academic,Theory-Heavy,1
STU0072,BIO,Genetics,Already fish whole management back wish card join against machine.,already fish whole management back wish card join against machine,neutral,0,fear,Academic,Project-Based,1
STU0073,ECE,Embedded Systems,Sit step however catch available though win walk base coach issue type late.,sit step however catch available though win walk base coach issue type late,neutral,0,fear,Instructor,Theory-Heavy,1
STU0074,MBA,Finance,Six small cold town last rate part people most.,six small cold town last rate part people most,positive,0,sadness,Academic,Lab-Intensive,0
STU0075,MBA,Finance,Myself enjoy sure tell vote issue modern road both fly.,myself enjoy sure tell vote issue modern road both fly,negative,0,joy,Infrastructure,Project-Based,1
STU0076,ENG,Poetry,Station car strategy hard between return trade be toward quite perform wear run room front.,station car strategy hard between return trade be toward quite perform wear run room front,neutral,0,anger,Instructor,Lab-Intensive,1
STU0077,MBA,Marketing,Late protect forward second analysis factor.,late protect forward second analysis factor,neutral,1,neutral,Academic,Project-Based,1
STU0078,CS,Cybersecurity,Herself staff inside writer shake travel.,herself staff inside writer shake travel,negative,0,fear,Instructor,Lab-Intensive,1
STU0079,ENG,Poetry,Senior cost mind daughter stop open total former gun floor more everything phone administration owner.,senior cost mind daughter stop open total former gun floor more everything phone administration owner,positive,0,neutral,Infrastructure,Project-Based,0
STU0080,ME,Fluid Mechanics,Use decision science especially bring help mean lay peace career son few thought senior nature democratic particularly.,use decision science especially bring help mean lay peace career son few thought senior nature democratic particularly,positive,0,joy,Instructor,Theory-Heavy,0
STU0081,ECE,Embedded Systems,First character number among arrive day find discover audience think friend authority long tend serve perhaps perhaps.,first character number among arrive day find discover audience think friend authority long tend serve perhaps perhaps,negative,0,neutral,Infrastructure,Lab-Intensive,1
STU0082,ME,Fluid Mechanics,Size top suggest president administration economy position light reduce challenge floor street staff light including door picture.,size top suggest president administration economy position light reduce challenge floor street staff light including door picture,neutral,0,sadness,Instructor,Project-Based,0
STU0083,ME,Fluid Mechanics,Affect simply grow school during clear she.,affect simply grow school during clear she,negative,0,neutral,Instructor,Theory-Heavy,1
STU0084,CS,AI,Front challenge wind federal week control out have similar challenge billion oil role writer.,front challenge wind federal week control out have similar challenge billion oil role writer,positive,0,sadness,Instructor,Theory-Heavy,1
STU0085,BIO,Genetics,Analysis glass just kitchen type over mean color career not around weight perhaps.,analysis glass just kitchen type over mean color career not around weight perhaps,negative,0,neutral,Instructor,Theory-Heavy,1
STU0086,BIO,Genetics,Leader sell throw smile daughter minute bad minute hotel child black happen individual probably suddenly often entire.,leader sell throw smile daughter minute bad minute hotel child black happen individual probably suddenly often entire,neutral,0,joy,Academic,Theory-Heavy,0
STU0087,ECE,Digital Circuits,Between true at charge seven operation question employee.,between true at charge seven operation question employee,neutral,0,surprise,Infrastructure,Theory-Heavy,1
STU0088,CIVIL,Surveying,Whose guess choice skin perform much partner seven.,whose guess choice skin perform much partner seven,negative,0,sadness,Academic,Project-Based,1
STU0089,CIVIL,Concrete Tech,Week agree special would imagine describe but item age physical.,week agree special would imagine describe but item age physical,positive,0,neutral,Academic,Project-Based,0
STU0090,CIVIL,Surveying,Letter fall decide late these thank result benefit southern game oil same avoid hope what.,letter fall decide late these thank result benefit southern game oil same avoid hope what,negative,1,surprise,Infrastructure,Theory-Heavy,1
STU0091,CS,Data Structures,Personal building chance generation soon lose notice dark their small magazine enjoy live above.,personal building chance generation soon lose notice dark their small magazine enjoy live above,positive,0,joy,Infrastructure,Lab-Intensive,0
STU0092,ME,Thermodynamics,These professor indeed car successful offer.,these professor indeed car successful offer,neutral,0,anger,Infrastructure,Theory-Heavy,0
STU0093,MBA,Finance,Early individual recently travel him say across theory only decision strategy next pattern hundred whole he.,early individual recently travel him say across theory only decision strategy next pattern hundred whole he,neutral,0,anger,Academic,Theory-Heavy,1
STU0094,CS,Data Structures,Professional someone thousand past education thought boy example team face shoulder economy surface ball dark.,professional someone thousand past education thought boy example team face shoulder economy surface ball dark,neutral,0,neutral,Academic,Project-Based,0
STU0095,MBA,Marketing,Democratic century size American eat common.,democratic century size american eat common,negative,0,fear,Infrastructure,Lab-Intensive,1
STU0096,MBA,Finance,Different second source think arrive one push parent herself little place.,different second source think arrive one push parent herself little place,positive,1,sadness,Infrastructure,Theory-Heavy,1
STU0097,BIO,Genetics,Discussion hotel police away yes not ready month successful listen.,discussion hotel police away yes not ready month successful listen,negative,0,anger,Instructor,Lab-Intensive,1
STU0098,CS,Data Structures,Husband establish low record indeed conference should.,husband establish low record indeed conference should,positive,0,joy,Instructor,Theory-Heavy,1
STU0099,ME,Thermodynamics,Budget serious pull since plant institution yourself again newspaper however newspaper station hour.,budget serious pull since plant institution yourself again newspaper however newspaper station hour,positive,0,fear,Academic,Lab-Intensive,0
STU0100,ME,Thermodynamics,Head sure give police business defense those end save cup grow similar result type.,head sure give police business defense those end save cup grow similar result type,positive,0,anger,Instructor,Project-Based,0
STU0101,CS,Data Structures,Reason music but realize probably up agree.,reason music but realize probably up agree,neutral,0,sadness,Instructor,Project-Based,1
STU0102,CIVIL,Surveying,While believe value agree number thank various success citizen despite.,while believe value agree number thank various success citizen despite,negative,0,fear,Instructor,Project-Based,1
STU0103,BIO,Genetics,Pretty city center while score professor the strategy hospital size east skill investment father off.,pretty city center while score professor the strategy hospital size east skill investment father off,negative,0,joy,Academic,Project-Based,1
STU0104,CIVIL,Concrete Tech,Off represent nation protect still past that modern it reality really mean movement add place.,off represent nation protect still past that modern it reality really mean movement add place,neutral,0,anger,Instructor,Lab-Intensive,1
STU0105,ME,Thermodynamics,Industry person plan push mind that rule hope manager sometimes Republican who against high leg wide small so hope.,industry person plan push mind that rule hope manager sometimes republican who against high leg wide small so hope,neutral,0,joy,Instructor,Theory-Heavy,1
STU0106,ME,Fluid Mechanics,Bit eat system stay sort.,bit eat system stay sort,negative,0,neutral,Instructor,Theory-Heavy,1
STU0107,CIVIL,Surveying,Style customer newspaper important hard military series no soon if hospital end everyone different serious detail these democratic although network action life.,style customer newspaper important hard military series no soon if hospital end everyone different serious detail these democratic although network action life,positive,0,sadness,Instructor,Project-Based,1
STU0108,MBA,Finance,Four answer behind thousand somebody chance important movie agency lose share agent difficult door discuss energy.,four answer behind thousand somebody chance important movie agency lose share agent difficult door discuss energy,neutral,0,surprise,Instructor,Lab-Intensive,1
STU0109,CIVIL,Surveying,Detail process allow life radio add.,detail process allow life radio add,positive,0,sadness,Instructor,Lab-Intensive,1
STU0110,CS,Data Structures,Center keep your pretty success leader culture history training reach from father maintain office.,center keep your pretty success leader culture history training reach from father maintain office,negative,0,joy,Infrastructure,Theory-Heavy,1
STU0111,CS,Data Structures,List drug heart skill major occur.,list drug heart skill major occur,neutral,0,anger,Instructor,Lab-Intensive,1
STU0112,BIO,Microbiology,About particular film else continue field run across home morning vote.,about particular film else continue field run across home morning vote,negative,1,anger,Instructor,Lab-Intensive,1
STU0113,ENG,Modern Fiction,Hope eye staff father rock north indicate capital only.,hope eye staff father rock north indicate capital only,negative,0,anger,Academic,Theory-Heavy,1
STU0114,MBA,Marketing,Box fall doctor prepare out today candidate together last begin.,box fall doctor prepare out today candidate together last begin,negative,0,joy,Instructor,Lab-Intensive,1
STU0115,ME,Fluid Mechanics,Important tree talk popular degree consumer.,important tree talk popular degree consumer,neutral,0,sadness,Infrastructure,Lab-Intensive,1
STU0116,ECE,Embedded Systems,Prepare picture gun red people figure either media campaign consumer.,prepare picture gun red people figure either media campaign consumer,negative,0,fear,Academic,Theory-Heavy,1
STU0117,CS,AI,Course think continue animal alone listen might enter imagine.,course think continue animal alone listen might enter imagine,negative,0,fear,Infrastructure,Lab-Intensive,1
STU0118,ENG,Modern Fiction,Want message education including detail.,want message education including detail,positive,1,sadness,Academic,Theory-Heavy,0
STU0119,BIO,Microbiology,We instead source year boy.,we instead source year boy,negative,0,neutral,Academic,Project-Based,1
STU0120,ECE,Embedded Systems,Out raise popular but technology history today act.,out raise popular but technology history today act,neutral,0,joy,Instructor,Lab-Intensive,1
STU0121,ME,Fluid Mechanics,Growth artist produce until argue everything local ball perhaps rest official population so responsibility radio great maybe.,growth artist produce until argue everything local ball perhaps rest official population so responsibility radio great maybe,positive,0,neutral,Infrastructure,Theory-Heavy,0
STU0122,CIVIL,Concrete Tech,System surface by career white long truth see perform response where live voice worker billion.,system surface by career white long truth see perform response where live voice worker billion,negative,0,neutral,Academic,Theory-Heavy,1
STU0123,ENG,Modern Fiction,Customer effort ahead learn finish.,customer effort ahead learn finish,positive,0,sadness,Instructor,Theory-Heavy,1
STU0124,ENG,Poetry,Show this need center condition any career beyond current make mind hour.,show this need center condition any career beyond current make mind hour,neutral,0,anger,Academic,Project-Based,0
STU0125,BIO,Microbiology,By development central general enter popular big thought.,by development central general enter popular big thought,neutral,0,anger,Instructor,Lab-Intensive,1
STU0126,ECE,Embedded Systems,Party student throughout tell memory executive cover board box president.,party student throughout tell memory executive cover board box president,negative,0,sadness,Infrastructure,Lab-Intensive,1
STU0127,ENG,Poetry,Newspaper strong partner meeting describe sign exist environmental them travel evidence point few reality per point television.,newspaper strong partner meeting describe sign exist environmental them travel evidence point few reality per point television,negative,1,sadness,Infrastructure,Theory-Heavy,1
STU0128,CIVIL,Surveying,Who receive view citizen poor recognize teacher simply mean might adult.,who receive view citizen poor recognize teacher simply mean might adult,negative,0,fear,Instructor,Project-Based,1
STU0129,ENG,Modern Fiction,Piece place hear huge bit door environmental man benefit structure list once trial democratic.,piece place hear huge bit door environmental man benefit structure list once trial democratic,neutral,1,sadness,Academic,Lab-Intensive,1
STU0130,ME,Thermodynamics,Behind prove better court recognize under.,behind prove better court recognize under,negative,0,sadness,Academic,Lab-Intensive,1
STU0131,MBA,Marketing,Arm clear call within raise senior late fund opportunity question process myself sea other.,arm clear call within raise senior late fund opportunity question process myself sea other,neutral,0,neutral,Infrastructure,Lab-Intensive,0
STU0132,CIVIL,Concrete Tech,Author information wind interesting brother media this various key together.,author information wind interesting brother media this various key together,positive,0,surprise,Instructor,Lab-Intensive,0
STU0133,CS,AI,Ask agreement rich PM mouth effort marriage open three.,ask agreement rich pm mouth effort marriage open three,negative,0,anger,Infrastructure,Theory-Heavy,1
STU0134,BIO,Microbiology,Matter push meeting machine exactly impact blood TV than professional.,matter push meeting machine exactly impact blood tv than professional,positive,0,fear,Instructor,Lab-Intensive,1
STU0135,MBA,Finance,Local seven national within teacher threat home your pattern sea.,local seven national within teacher threat home your pattern sea,negative,0,anger,Infrastructure,Lab-Intensive,1
STU0136,CIVIL,Surveying,Community speech thus produce compare conference both democratic by their join around appear scientist fund.,community speech thus produce compare conference both democratic by their join around appear scientist fund,positive,0,joy,Instructor,Lab-Intensive,0
STU0137,ECE,Embedded Systems,Medical bad series until few peace whole dream indeed action forward economic or.,medical bad series until few peace whole dream indeed action forward economic or,neutral,0,sadness,Academic,Lab-Intensive,0
STU0138,ECE,Digital Circuits,Marriage successful fear plant often national future while according economic heart film successful so artist I hold start might nothing.,marriage successful fear plant often national future while according economic heart film successful so artist i hold start might nothing,positive,0,neutral,Academic,Lab-Intensive,1
STU0139,CIVIL,Surveying,Data evidence attack sea international before perform poor federal figure ready short behind consider.,data evidence attack sea international before perform poor federal figure ready short behind consider,positive,0,joy,Instructor,Theory-Heavy,0
STU0140,CS,Data Structures,Else find husband court store turn discover environmental show itself wall various administration all recent nothing fill character exactly.,else find husband court store turn discover environmental show itself wall various administration all recent nothing fill character exactly,positive,0,neutral,Infrastructure,Lab-Intensive,1
STU0141,BIO,Genetics,That different wish whom budget cultural history smile name institution season education couple when share local side name.,that different wish whom budget cultural history smile name institution season education couple when share local side name,neutral,0,surprise,Instructor,Theory-Heavy,0
STU0142,CIVIL,Surveying,Father each establish pay manager president natural best official attention reality few serve low.,father each establish pay manager president natural best official attention reality few serve low,neutral,1,sadness,Academic,Lab-Intensive,1
STU0143,BIO,Microbiology,Have hand after enough author matter word trouble quickly employee.,have hand after enough author matter word trouble quickly employee,positive,0,joy,Instructor,Project-Based,0
STU0144,CIVIL,Concrete Tech,Notice together month car water building score sport together.,notice together month car water building score sport together,negative,0,anger,Infrastructure,Project-Based,1
STU0145,CS,Cybersecurity,Impact hotel lose experience statement talk reflect military stock whether someone suggest ahead dream.,impact hotel lose experience statement talk reflect military stock whether someone suggest ahead dream,neutral,0,anger,Instructor,Project-Based,0
STU0146,ME,Thermodynamics,Modern traditional push happen bad town physical.,modern traditional push happen bad town physical,neutral,0,joy,Infrastructure,Project-Based,0
STU0147,CS,AI,Research my kind thing which when effort page me soldier.,research my kind thing which when effort page me soldier,neutral,0,sadness,Academic,Project-Based,1
STU0148,BIO,Genetics,Enough accept option far require understand when.,enough accept option far require understand when,neutral,0,surprise,Infrastructure,Project-Based,1
STU0149,BIO,Genetics,This Democrat majority big some stuff civil college citizen.,this democrat majority big some stuff civil college citizen,negative,1,neutral,Infrastructure,Theory-Heavy,1
STU0150,ECE,Digital Circuits,Bag suffer race by image collection.,bag suffer race by image collection,negative,0,fear,Infrastructure,Project-Based,1
STU0151,ECE,Embedded Systems,State before officer avoid apply admit ability red their.,state before officer avoid apply admit ability red their,negative,0,anger,Academic,Project-Based,1
STU0152,ME,Fluid Mechanics,Indicate level player consider ask development something western deep customer.,indicate level player consider ask development something western deep customer,negative,0,fear,Infrastructure,Lab-Intensive,1
STU0153,ECE,Digital Circuits,Each off picture see too across ready three.,each off picture see too across ready three,negative,0,surprise,Infrastructure,Project-Based,1
STU0154,ECE,Embedded Systems,Example movement TV customer walk dog summer dinner tonight church analysis a agree.,example movement tv customer walk dog summer dinner tonight church analysis a agree,neutral,0,fear,Instructor,Lab-Intensive,0
STU0155,ME,Fluid Mechanics,Discuss you risk feeling company organization discuss one exist up spring.,discuss you risk feeling company organization discuss one exist up spring,neutral,0,anger,Infrastructure,Theory-Heavy,0
STU0156,CS,Data Structures,Field project seek however huge during.,field project seek however huge during,neutral,0,sadness,Academic,Lab-Intensive,0
STU0157,BIO,Microbiology,Ball network above north local happy positive training vote concern wish service.,ball network above north local happy positive training vote concern wish service,neutral,1,fear,Infrastructure,Project-Based,1
STU0158,BIO,Microbiology,Tonight religious tree government positive plant shoulder service.,tonight religious tree government positive plant shoulder service,positive,0,anger,Infrastructure,Theory-Heavy,0
STU0159,MBA,Finance,Bill five media natural wall free particular no.,bill five media natural wall free particular no,negative,0,sadness,Infrastructure,Project-Based,1
STU0160,MBA,Marketing,Speak everybody determine lose someone trouble more pressure general themselves they allow number consider prevent reason allow enter yeah act present.,speak everybody determine lose someone trouble more pressure general themselves they allow number consider prevent reason allow enter yeah act present,negative,0,surprise,Infrastructure,Lab-Intensive,1
STU0161,BIO,Genetics,But issue society serve open if station business will between view.,but issue society serve open if station business will between view,positive,0,sadness,Instructor,Theory-Heavy,0
STU0162,ENG,Poetry,Real indeed create movement condition explain stand total defense memory author lose however challenge court purpose case.,real indeed create movement condition explain stand total defense memory author lose however challenge court purpose case,positive,0,joy,Academic,Lab-Intensive,0
STU0163,ECE,Embedded Systems,Child agreement seven process become item argue painting something increase under little population.,child agreement seven process become item argue painting something increase under little population,positive,0,neutral,Instructor,Lab-Intensive,0
STU0164,CS,Data Structures,Base able above they story let despite others will sound born during understand place.,base able above they story let despite others will sound born during understand place,negative,0,joy,Instructor,Theory-Heavy,1
STU0165,CIVIL,Surveying,Trade leader option interview cultural center one seek activity take push forget detail any.,trade leader option interview cultural center one seek activity take push forget detail any,neutral,0,anger,Infrastructure,Project-Based,1
STU0166,ECE,Digital Circuits,Out system exist one letter anyone give pressure relationship deep movement easy approach artist majority.,out system exist one letter anyone give pressure relationship deep movement easy approach artist majority,neutral,0,surprise,Infrastructure,Theory-Heavy,0
STU0167,ENG,Modern Fiction,Accept only commercial she far future.,accept only commercial she far future,positive,0,anger,Academic,Theory-Heavy,1
STU0168,ME,Thermodynamics,Final new machine hold coach nearly economy.,final new machine hold coach nearly economy,neutral,0,anger,Instructor,Lab-Intensive,0
STU0169,BIO,Microbiology,From when learn somebody officer third represent or big.,from when learn somebody officer third represent or big,positive,0,fear,Academic,Theory-Heavy,0
